Loading config configs/COCO-Detection/../Base-RetinaNet.yaml with yaml.unsafe_load. Your machine may be at risk if the file contains malicious content.
[08/28 17:21:46 detectron2]: Parameter Count:
| name                                      | #elements or shape    |
|:------------------------------------------|:----------------------|
| model                                     | 37.9M                 |
|  backbone                                 |  31.5M                |
|   backbone.fpn_lateral3                   |   0.1M                |
|    backbone.fpn_lateral3.weight           |    (256, 512, 1, 1)   |
|    backbone.fpn_lateral3.bias             |    (256,)             |
|   backbone.fpn_output3                    |   0.6M                |
|    backbone.fpn_output3.weight            |    (256, 256, 3, 3)   |
|    backbone.fpn_output3.bias              |    (256,)             |
|   backbone.fpn_lateral4                   |   0.3M                |
|    backbone.fpn_lateral4.weight           |    (256, 1024, 1, 1)  |
|    backbone.fpn_lateral4.bias             |    (256,)             |
|   backbone.fpn_output4                    |   0.6M                |
|    backbone.fpn_output4.weight            |    (256, 256, 3, 3)   |
|    backbone.fpn_output4.bias              |    (256,)             |
|   backbone.fpn_lateral5                   |   0.5M                |
|    backbone.fpn_lateral5.weight           |    (256, 2048, 1, 1)  |
|    backbone.fpn_lateral5.bias             |    (256,)             |
|   backbone.fpn_output5                    |   0.6M                |
|    backbone.fpn_output5.weight            |    (256, 256, 3, 3)   |
|    backbone.fpn_output5.bias              |    (256,)             |
|   backbone.top_block                      |   5.3M                |
|    backbone.top_block.p6                  |    4.7M               |
|     backbone.top_block.p6.weight          |     (256, 2048, 3, 3) |
|     backbone.top_block.p6.bias            |     (256,)            |
|    backbone.top_block.p7                  |    0.6M               |
|     backbone.top_block.p7.weight          |     (256, 256, 3, 3)  |
|     backbone.top_block.p7.bias            |     (256,)            |
|   backbone.bottom_up                      |   23.5M               |
|    backbone.bottom_up.stem                |    9.4K               |
|     backbone.bottom_up.stem.conv1         |     9.4K              |
|      backbone.bottom_up.stem.conv1.weight |      (64, 3, 7, 7)    |
|    backbone.bottom_up.res2                |    0.2M               |
|     backbone.bottom_up.res2.0             |     73.7K             |
|      backbone.bottom_up.res2.0.shortcut   |      16.4K            |
|      backbone.bottom_up.res2.0.conv1      |      4.1K             |
|      backbone.bottom_up.res2.0.conv2      |      36.9K            |
|      backbone.bottom_up.res2.0.conv3      |      16.4K            |
|     backbone.bottom_up.res2.1             |     69.6K             |
|      backbone.bottom_up.res2.1.conv1      |      16.4K            |
